Whisk_Name,Whisk_Type,Whisk_Loc,Communal_Rating,Distiller_Score,URL
TULLIBARDINE THE MURRAY MARSALA FINISH,Single Malt,"Highlands, Scotland",4.19,86,https://distiller.com/spirits/tullibardine-the-murray-marsala-finish
GLENGLASSAUGH 30 YEAR,Single Malt,"Highlands, Scotland",4.38,nan,https://distiller.com/spirits/glenglassaugh-30-year
LEDAIG 13 AMONTILLADO CASK FINISH,Single Malt,"Islands, Scotland",3.84,nan,https://distiller.com/spirits/ledaig-13-amontillado-cask-finish
KILCHOMAN BOURBON SINGLE CASK,Single Malt,"Islay, Scotland",3.03,nan,https://distiller.com/spirits/kilchoman-bourbon-single-cask
DEANSTON 12 YEAR SHERRY OAK,Single Malt,"Highlands , Scotland",3.34,nan,https://distiller.com/spirits/deanston-12-year-sherry-oak
ARDBEG STILL YOUNG,Single Malt,"Islay, Scotland",4.03,nan,https://distiller.com/spirits/ardbeg-still-young
GLENALLACHIE 25 YEAR,Single Malt,"Speyside, Scotland",3.75,89,https://distiller.com/spirits/glenallachie-25-year
IMPERIAL 1995 20 YEAR (THE ULTIMATE),Single Malt,"Speyside, Scotland",2.72,nan,https://distiller.com/spirits/imperial-1995-20-year-the-ultimate
CAOL ILA 10 CONNOISSEUR’S CHOICE (GORDON & MACPHAIL),Single Malt,"Islay , Scotland",3.69,nan,https://distiller.com/spirits/caol-ila-10-connoisseur-s-choice-gordon-macphail
GLENCADAM 18,Single Malt,"Highland, Scotland",3.69,nan,https://distiller.com/spirits/glencadam-18
GLENMORANGIE GRAND VINTAGE 1989,Single Malt,"Highlands, Scotland",4.31,92,https://distiller.com/spirits/glenmorangie-grand-vintage-1989
LINKWOOD-GLENLIVET 23 YEAR SMALL BATCH (CADENHEAD'S),Single Malt,"Speyside, Scotland",4.03,nan,https://distiller.com/spirits/linkwood-glenlivet-23-years-cadenhead
TORMORE 1992 21 YEAR CASK #100 BERRYS' OWN (BERRY BROS & RUDD),Single Malt,"Speyside, Scotland",3.84,nan,https://distiller.com/spirits/tormore-1992-21-year-cask-100-berrys-own-berry-bros-rudd
GLENALLACHIE 7 YEAR BATTLEHILL (DUNCAN TAYLOR),Single Malt,"Speyside, Scotland",3.03,nan,https://distiller.com/spirits/glenallachie-7-year-battlehill-duncan-taylor
GLEN SCOTIA 25 YEAR,Single Malt,"Campbeltown, Scotland",4.31,90,https://distiller.com/spirits/glen-scotia-25-year
BRUICHLADDICH BERE BARLEY 2009,Single Malt,"Islay, Scotland",4.34,nan,https://distiller.com/spirits/bruichladdich-bere-barley-2009
SPEY 18 YEAR,Single Malt,"Speyside, Scotland",3.78,nan,https://distiller.com/spirits/spey-18-year
LINKWOOD 37 YEAR 1978 (2016 SPECIAL RELEASE),Single Malt,"Speyside, Scotland",4.66,90,https://distiller.com/spirits/linkwood-37-year-1978-2016-special-release
MANNOCHMORE 25 YEAR 1990 (2016 SPECIAL RELEASE),Single Malt,"Speyside, Scotland",4.41,nan,https://distiller.com/spirits/mannochmore-25-year-1990-2016-special-release
OLD PULTENEY 1989 VINTAGE,Single Malt,"Highland, Scotland",4.63,nan,https://distiller.com/spirits/old-pulteney-1989-vintage
GLEN SPEY 12 YEAR FLORA & FAUNA,Single Malt,"Speyside, Scotland",3.56,nan,https://distiller.com/spirits/glen-spey-12-year-flora-fauna
BRUICHLADDICH THE SIXTEENS BOURBON CASK AGED,Single Malt,"Islay, Scotland",4.59,nan,https://distiller.com/spirits/bruichladdich-the-sixteens-bourbon-cask-aged
AINSLEY BRAE SAUTERNES CASK FINISH,Single Malt,"Highlands, Scotland",2.97,nan,https://distiller.com/spirits/ainsley-brae-sauternes-cask-finish
BRUICHLADDICH CUVEE 640 EROICA,Single Malt,"Islay, Scotland",4.69,nan,https://distiller.com/spirits/bruichladdich-cuvee-640-eroica
ROYAL LOCHNAGAR SELECTED RESERVE,Single Malt,"Highlands, Scotland",4.47,nan,https://distiller.com/spirits/royal-lochnagar-selected-reserve
JURA CAMAS AN STACA 30 YEAR,Single Malt,"Islands, Scotland",3.75,89,https://distiller.com/spirits/jura-camas-an-staca-30-year
GLENALLACHIE 10 YEAR OLD (CASK STRENGTH BATCH #5),Single Malt,"Speyside, Scotland",4.46,nan,https://distiller.com/spirits/glenallachie-10-year-old-cask-strength-batch-5
GLEN SCOTIA CAMPBELTOWN MALT FESTIVAL 2021,Single Malt,"Campbeltown , Scotland",4.07,nan,https://distiller.com/spirits/glen-scotia-campbeltown-malt-festival-2021
DALMORE 25 YEAR,Single Malt,"Highlands, Scotland",4.68,nan,https://distiller.com/spirits/dalmore-25-year
SHIELDAIG SINGLE MALT SCOTCH WHISKY OLOROSO CASK EDITION,Single Malt,"Speyside, Scotland",3.25,nan,https://distiller.com/spirits/shieldaig-single-malt-scotch-whisky-oloroso-cask-edition
GLEN FOHDRY DARAICH IAPANACH,Single Malt,"Speyside, Scotland",3.43,nan,https://distiller.com/spirits/glen-fohdry-daraich-iapanach
SILVER SEAL 12 YEAR,Single Malt,"Speyside, Scotland",3.75,nan,https://distiller.com/spirits/silver-seal-12-year
ISLAY GOLD ORLA,Single Malt,"Islay, Scotland",2.82,nan,https://distiller.com/spirits/islay-gold-orla
GLENGOYNE CASK STRENGTH BATCH NO. 007,Single Malt,"Highland, Scotland",3.61,nan,https://distiller.com/spirits/glengoyne-cask-strength-batch-no-007
MACALLAN CONCEPT NO. 2,Single Malt,"Speyside, Scotland",4.14,nan,https://distiller.com/spirits/macallan-concept-no-2
MORTLACH 12 YRS. SINGLE MALT SCOTCH WHISKY,Single Malt,"Dufftown, Scotland, Scotland",3.61,nan,https://distiller.com/spirits/mortlach-12-yrs-single-malt-scotch-whisky
CU BOCAN CREATION 1,Single Malt,"Highland, Scotland",3.43,nan,https://distiller.com/spirits/cu-bocan-creation-1
THE MACALLAN RARE CASK BATCH NO. 2 (2017 RELEASE),Single Malt,"Highland, Scotland",4.61,nan,https://distiller.com/spirits/the-macallan-rare-cask-batch-no-2-2017-release
ABERLOUR 10 YEARS FOREST RESERVE,Single Malt,"Speyside, Scotland",3.54,nan,https://distiller.com/spirits/aberlour-10-years-forest-reserve
TALISKER 2003 (BOTTLED 2014) AMOROSO CASK FINISH - DISTILLERS EDITION,Single Malt,"Island , Scotland",3.93,nan,https://distiller.com/spirits/talisker-2003-bottled-2014-amoroso-cask-finish-distillers-edition
GLENLIVET 13 YEAR SHERRY CASK MATURED,Single Malt,"Speyside, Scotland",3.93,nan,https://distiller.com/spirits/glenlivet-13-year-sherry-cask-matured
CRAIGELLACHIE EXCEPTIONAL CASK SERIES 19 YEAR SINGLE CASK,Single Malt,"Speyside, Scotland",4.46,89,https://distiller.com/spirits/craigellachie-exceptional-cask-series-19-year-single-cask
THE BALVENIE TUN 1509 BATCH 6,Single Malt,"Speyside, Scotland",4.07,nan,https://distiller.com/spirits/the-balvenie-tun-1509-batch-6
HIGHLAND PARK 14,Single Malt,Scotland,4.07,nan,https://distiller.com/spirits/highland-park-14
COMPASS BOX MYTHS & LEGENDS II,Single Malt,Scotland,4.32,nan,https://distiller.com/spirits/compass-box-myths-legends-ii
GLENALLACHIE 8 YEAR KOVAL RYE QUARTER CASK WOOD FINISH,Single Malt,"Speyside, Scotland",3.25,88,https://distiller.com/spirits/glenallachie-8-year-koval-rye-quarter-cask-wood-finish
KIRKWALL BAY,Single Malt,"Orkney Isles, Scotland",3.43,nan,https://distiller.com/spirits/kirkwall-bay
