Whisk_Name,Whisk_Type,Whisk_Loc,Communal_Rating,Distiller_Score,URL
LEDAIG SINCLAIR SERIES RIOJA CASK,Peated Single Malt,"Isle of mull, Scotland",3.36,nan,https://distiller.com/spirits/ledaig-sinclair-series-rioja-cask
ISLAY GOLD LORCAN ISLAY SINGLE MALT,Peated Single Malt,"Islay, Scotland",3.44,nan,https://distiller.com/spirits/islay-gold-lorcan-islay-single-malt
'AS WE GET IT' CASK STRENGTH ISLAY SINGLE MALT (IAN MACLEOD),Peated Single Malt,"Islay, Scotland",3.64,nan,https://distiller.com/spirits/as-we-get-it
OCTOMORE 10.2/96.9 SCOTTISH BARLEY,Peated Single Malt,"Islay, Scotland",4.56,91,https://distiller.com/spirits/octomore-10-2-96-9-scottish-barley
FINLAGGAN RED WINE CASK MATURED,Peated Single Malt,"Islay, Scotland",3.03,86,https://distiller.com/spirits/finlaggan-red-wine-cask-matured
SMOKEHEAD EXTRA RARE,Peated Single Malt,"Islay, Scotland",3.56,nan,https://distiller.com/spirits/smokehead-extra-rare
ARRAN MACHRIE MOOR 8TH EDITION,Peated Single Malt,"Isle of Arran, Scotland",3.75,nan,https://distiller.com/spirits/arran-machrie-moor-8th-edition
HIGHLAND PARK 18 YEAR VIKING PRIDE TRAVEL EDITION,Peated Single Malt,"Islands, Scotland",4.18,nan,https://distiller.com/spirits/highland-park-18-year-viking-pride-travel-edition
GLENGLASSAUGH PEATED VIRGIN OAK FINISH,Peated Single Malt,"Highland, Scotland",3.74,nan,https://distiller.com/spirits/glenglassaugh-peated-virgin-oak-finish
BUNNAHABHAIN FÈIS ÌLE 2017 MOINE PORT PIPE FINISH,Peated Single Malt,"Islay, Scotland",4.83,nan,https://distiller.com/spirits/bunnahabhain-feis-ile-2017-moine-port-pipe-finish
LONGROW RED 11 YEAR AUSTRALIAN SHIRAZ CASK,Peated Single Malt,"Campbeltown, Scotland",4.56,nan,https://distiller.com/spirits/longrow-red-11-year-australian-shiraz-cask
BOWMORE 9 YEAR SHERRY CASK MATURED,Peated Single Malt,"Islay, Scotland",3.42,nan,https://distiller.com/spirits/bowmore-9-year-sherry-cask-matured
BRUICHLADDICH WAVES,Peated Single Malt,"Islay, Scotland",3.61,nan,https://distiller.com/spirits/bruichladdich-waves
KILKERRAN WORK IN PROGRESS #6 BOURBON WOOD,Peated Single Malt,"Campbeltown, Scotland",4.47,nan,https://distiller.com/spirits/kilkerran-single-malt-wip-6-bourbon-matured
OCTOMORE 05.1/169,Peated Single Malt,"Islay, Scotland",4.64,nan,https://distiller.com/spirits/octomore-5-1-169
KILKERRAN WORK IN PROGRESS #5 BOURBON WOOD,Peated Single Malt,"Campeltown, Scotland",4.13,nan,https://distiller.com/spirits/kilkerran-single-malt-wip-5-bourbon-matured
ARDNAMURCHAN AD/09.20:01,Peated Single Malt,"Highlands, Scotland",3.56,89,https://distiller.com/spirits/ardnamurchan-ad-09-20-01
A.D RATTRAY CASK ISLAY SHERRY EDITION,Peated Single Malt,"Islay, Scotland",3.72,nan,https://distiller.com/spirits/a-d-rattray-cask-islay-sherry-edition
KILKERRAN HEAVILY PEATED BATCH #2,Peated Single Malt,"Campbeltown, Scotland",3.66,nan,https://distiller.com/spirits/kilkerran-heavily-peated-batch-2
ARRAN MASTER OF DISTILLING II THE MAN WITH THE GOLDEN GLASS,Peated Single Malt,"Islands, Scotland",3.38,84,https://distiller.com/spirits/arran-master-of-distilling-ii-the-man-with-the-golden-glass
CAOL ILA 22 YEAR FÈIS ÌLE 2019,Peated Single Malt,"Islay, Scotland",4.28,93,https://distiller.com/spirits/caol-ila-22-year-feis-ile-2019
GLENMORANGIE SINGLE HIGHLAND RARE MALT SCOTCH WHISKY,Peated Single Malt,Scotland,3.72,nan,https://distiller.com/spirits/glenmorangie-single-highland-rare-malt-scotch-whisky
KILCHOMAN MACHIR BAY 2017,Peated Single Malt,"Islay, Scotland",3.75,nan,https://distiller.com/spirits/kilchoman-machir-bay-2017
