Whisk_Name,URL,Num_Revs,Brand,Cost,Age,ABV,Flavor,Profile
LEDAIG SINCLAIR SERIES RIOJA CASK,https://distiller.com/spirits/ledaig-sinclair-series-rioja-cask,9,,spirit-cost cost-2,,46.3,NA,NA
ISLAY GOLD LORCAN ISLAY SINGLE MALT,https://distiller.com/spirits/islay-gold-lorcan-islay-single-malt,10,Islay Gold,spirit-cost cost-2,NAS,46.0,NA,NA
'AS WE GET IT' CASK STRENGTH ISLAY SINGLE MALT (IAN MACLEOD),https://distiller.com/spirits/as-we-get-it,9,,spirit-cost cost-3,,60.5,NA,NA
OCTOMORE 10.2/96.9 SCOTTISH BARLEY,https://distiller.com/spirits/octomore-10-2-96-9-scottish-barley,9,Octomore,spirit-cost cost-5,8 YEAR,56.9,RICH & FULL BODIED,"{""smoky"":40,""peaty"":35,""spicy"":10,""herbal"":10,""oily"":50,""full_bodied"":60,""rich"":70,""sweet"":45,""briny"":10,""salty"":15,""vanilla"":30,""tart"":20,""fruity"":40,""floral"":10}"
FINLAGGAN RED WINE CASK MATURED,https://distiller.com/spirits/finlaggan-red-wine-cask-matured,9,Finlaggan,spirit-cost cost-2,NAS,46.0,SWEET,"{""smoky"":35,""peaty"":45,""spicy"":35,""herbal"":10,""oily"":25,""full_bodied"":40,""rich"":25,""sweet"":50,""briny"":10,""salty"":15,""vanilla"":30,""tart"":10,""fruity"":25,""floral"":5}"
SMOKEHEAD EXTRA RARE,https://distiller.com/spirits/smokehead-extra-rare,12,,spirit-cost cost-2,,40.0,NA,NA
ARRAN MACHRIE MOOR 8TH EDITION,https://distiller.com/spirits/arran-machrie-moor-8th-edition,9,,spirit-cost cost-4,,46.0,NA,NA
HIGHLAND PARK 18 YEAR VIKING PRIDE TRAVEL EDITION,https://distiller.com/spirits/highland-park-18-year-viking-pride-travel-edition,10,Highland Park,spirit-cost cost-4,18 YEAR,46.0,NA,NA
GLENGLASSAUGH PEATED VIRGIN OAK FINISH,https://distiller.com/spirits/glenglassaugh-peated-virgin-oak-finish,10,Glenglassaugh,spirit-cost cost-4,NAS,46.0,NA,NA
BUNNAHABHAIN FÈIS ÌLE 2017 MOINE PORT PIPE FINISH,https://distiller.com/spirits/bunnahabhain-feis-ile-2017-moine-port-pipe-finish,9,Bunnahabhain,spirit-cost cost-4,,55.6,NA,NA
