Whisk_Name,URL,Num_Revs,Brand,Cost,Age,ABV,Flavor,Profile
TULLIBARDINE THE MURRAY MARSALA FINISH,https://distiller.com/spirits/tullibardine-the-murray-marsala-finish,8,Tullibardine,spirit-cost cost-3,NAS,46.0,SWEET,"{""smoky"":0,""peaty"":0,""spicy"":15,""herbal"":10,""oily"":40,""full_bodied"":35,""rich"":40,""sweet"":45,""briny"":0,""salty"":0,""vanilla"":20,""tart"":20,""fruity"":35,""floral"":10}"
GLENGLASSAUGH 30 YEAR,https://distiller.com/spirits/glenglassaugh-30-year,9,Glenglassaugh,spirit-cost cost-5,30 YEAR,42.0,NA,NA
LEDAIG 13 AMONTILLADO CASK FINISH,https://distiller.com/spirits/ledaig-13-amontillado-cask-finish,9,,spirit-cost cost-4,13,59.2,NA,NA
KILCHOMAN BOURBON SINGLE CASK,https://distiller.com/spirits/kilchoman-bourbon-single-cask,9,,spirit-cost cost-4,,59.0,NA,NA
DEANSTON 12 YEAR SHERRY OAK,https://distiller.com/spirits/deanston-12-year-sherry-oak,8,,spirit-cost cost-2,12,40.0,NA,NA
ARDBEG STILL YOUNG,https://distiller.com/spirits/ardbeg-still-young,8,,spirit-cost cost-5,7,56.2,NA,NA
GLENALLACHIE 25 YEAR,https://distiller.com/spirits/glenallachie-25-year,8,GlenAllachie,spirit-cost cost-5,25 YEAR,48.0,RICH,"{""smoky"":0,""peaty"":0,""spicy"":25,""herbal"":20,""oily"":40,""full_bodied"":35,""rich"":60,""sweet"":35,""briny"":0,""salty"":0,""vanilla"":10,""tart"":20,""fruity"":40,""floral"":10}"
IMPERIAL 1995 20 YEAR (THE ULTIMATE),https://distiller.com/spirits/imperial-1995-20-year-the-ultimate,8,The Ultimate Whisky Company,spirit-cost cost-5,20 YEAR,46.0,NA,NA
CAOL ILA 10 CONNOISSEUR’S CHOICE (GORDON & MACPHAIL),https://distiller.com/spirits/caol-ila-10-connoisseur-s-choice-gordon-macphail,8,,spirit-cost cost-3,10,46.0,NA,NA
GLENCADAM 18,https://distiller.com/spirits/glencadam-18,8,,spirit-cost cost-4,18,46.0,NA,NA
GLENMORANGIE GRAND VINTAGE 1989,https://distiller.com/spirits/glenmorangie-grand-vintage-1989,8,Glenmorangie,spirit-cost cost-5,NAS,43.0,FRUITY & SWEET,"{""smoky"":15,""peaty"":0,""spicy"":35,""herbal"":15,""oily"":15,""full_bodied"":50,""rich"":50,""sweet"":85,""briny"":10,""salty"":10,""vanilla"":25,""tart"":35,""fruity"":90,""floral"":55}"
LINKWOOD-GLENLIVET 23 YEAR SMALL BATCH (CADENHEAD'S),https://distiller.com/spirits/linkwood-glenlivet-23-years-cadenhead,8,Cadenhead Small Batch,spirit-cost cost-5,23 YEAR,55.0,NA,NA
TORMORE 1992 21 YEAR CASK #100 BERRYS' OWN (BERRY BROS & RUDD),https://distiller.com/spirits/tormore-1992-21-year-cask-100-berrys-own-berry-bros-rudd,9,Berrys' Own Selection,spirit-cost cost-4,21 YEAR,54.0,NA,NA
GLENALLACHIE 7 YEAR BATTLEHILL (DUNCAN TAYLOR),https://distiller.com/spirits/glenallachie-7-year-battlehill-duncan-taylor,8,Duncan Taylor Battlehill,spirit-cost cost-3,7 YEAR,55.0,NA,NA
GLEN SCOTIA 25 YEAR,https://distiller.com/spirits/glen-scotia-25-year,8,Glen Scotia,spirit-cost cost-5,25 YEAR,48.8,SPICY & SMOKY,"{""smoky"":75,""peaty"":30,""spicy"":75,""herbal"":50,""oily"":40,""full_bodied"":60,""rich"":60,""sweet"":55,""briny"":65,""salty"":60,""vanilla"":55,""tart"":45,""fruity"":70,""floral"":20}"
BRUICHLADDICH BERE BARLEY 2009,https://distiller.com/spirits/bruichladdich-bere-barley-2009,10,Bruichladdich,spirit-cost cost-3,NAS,50.0,NA,NA
SPEY 18 YEAR,https://distiller.com/spirits/spey-18-year,9,Spey,spirit-cost cost-3,18 YEAR,46.0,NA,NA
LINKWOOD 37 YEAR 1978 (2016 SPECIAL RELEASE),https://distiller.com/spirits/linkwood-37-year-1978-2016-special-release,10,Linkwood,spirit-cost cost-5,37 YEAR,50.3,FULL BODIED & FRUITY,"{""smoky"":10,""peaty"":0,""spicy"":50,""herbal"":40,""oily"":30,""full_bodied"":70,""rich"":50,""sweet"":40,""briny"":10,""salty"":60,""vanilla"":40,""tart"":30,""fruity"":60,""floral"":30}"
MANNOCHMORE 25 YEAR 1990 (2016 SPECIAL RELEASE),https://distiller.com/spirits/mannochmore-25-year-1990-2016-special-release,8,Mannochmore,spirit-cost cost-5,25 YEAR,53.4,NA,NA
OLD PULTENEY 1989 VINTAGE,https://distiller.com/spirits/old-pulteney-1989-vintage,8,Old Pulteney,spirit-cost cost-5,NAS,46.0,NA,NA
GLEN SPEY 12 YEAR FLORA & FAUNA,https://distiller.com/spirits/glen-spey-12-year-flora-fauna,9,Glen Spey,spirit-cost cost-3,,43.0,NA,NA
BRUICHLADDICH THE SIXTEENS BOURBON CASK AGED,https://distiller.com/spirits/bruichladdich-the-sixteens-bourbon-cask-aged,9,Bruichladdich,spirit-cost cost-4,16 YEAR,46.0,NA,NA
AINSLEY BRAE SAUTERNES CASK FINISH,https://distiller.com/spirits/ainsley-brae-sauternes-cask-finish,9,Ainsley Brae,spirit-cost cost-2,NAS,40.0,NA,NA
BRUICHLADDICH CUVEE 640 EROICA,https://distiller.com/spirits/bruichladdich-cuvee-640-eroica,8,Bruichladdich,spirit-cost cost-5,21 YEAR,46.0,NA,NA
ROYAL LOCHNAGAR SELECTED RESERVE,https://distiller.com/spirits/royal-lochnagar-selected-reserve,8,Royal Lochnagar,spirit-cost cost-5,NAS,43.0,NA,NA
JURA CAMAS AN STACA 30 YEAR,https://distiller.com/spirits/jura-camas-an-staca-30-year,8,Jura,spirit-cost cost-5,30 YEAR,44.0,SWEET & RICH,"{""smoky"":20,""peaty"":0,""spicy"":50,""herbal"":20,""oily"":20,""full_bodied"":70,""rich"":70,""sweet"":75,""briny"":20,""salty"":20,""vanilla"":40,""tart"":20,""fruity"":60,""floral"":30}"
GLENALLACHIE 10 YEAR OLD (CASK STRENGTH BATCH #5),https://distiller.com/spirits/glenallachie-10-year-old-cask-strength-batch-5,7,,spirit-cost cost-3,10,55.9,NA,NA
GLEN SCOTIA CAMPBELTOWN MALT FESTIVAL 2021,https://distiller.com/spirits/glen-scotia-campbeltown-malt-festival-2021,7,,spirit-cost cost-2,10,56.1,NA,NA
DALMORE 25 YEAR,https://distiller.com/spirits/dalmore-25-year,7,The Dalmore,spirit-cost cost-5,25 YEAR,42.0,NA,NA
SHIELDAIG SINGLE MALT SCOTCH WHISKY OLOROSO CASK EDITION,https://distiller.com/spirits/shieldaig-single-malt-scotch-whisky-oloroso-cask-edition,9,,spirit-cost cost-2,,43.0,NA,NA
GLEN FOHDRY DARAICH IAPANACH,https://distiller.com/spirits/glen-fohdry-daraich-iapanach,7,,spirit-cost cost-3,12,47.1,NA,NA
SILVER SEAL 12 YEAR,https://distiller.com/spirits/silver-seal-12-year,7,,spirit-cost cost-1,12,40.0,NA,NA
