Whisk_Name,Whisk_Type,Whisk_Loc,Communal_Rating,Distiller_Score,URL,Num_Revs,Brand,Cost,Age,ABV,Flavor,Profile,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral,Distiller
TULLIBARDINE THE MURRAY MARSALA FINISH,Single Malt,HIGHLAND,4.19,86.0,https://distiller.com/spirits/tullibardine-the-murray-marsala-finish,8,TULLIBARDINE,3,NAS,46.0,SWEET,"{""smoky"":0,""peaty"":0,""spicy"":15,""herbal"":10,""oily"":40,""full_bodied"":35,""rich"":40,""sweet"":45,""briny"":0,""salty"":0,""vanilla"":20,""tart"":20,""fruity"":35,""floral"":10}",0.0,0.0,15.0,10.0,40.0,35.0,40.0,45.0,0.0,0.0,20.0,20.0,35.0,10.0,TULLIBARDINE
GLENGLASSAUGH 30 YEAR,Single Malt,HIGHLAND,4.38,,https://distiller.com/spirits/glenglassaugh-30-year,9,GLENGLASSAUGH,5,30,42.0,,,,,,,,,,,,,,,,,GLENGLASSAUGH
LEDAIG 13 AMONTILLADO CASK FINISH,Single Malt,ISLANDS,3.84,,https://distiller.com/spirits/ledaig-13-amontillado-cask-finish,9,,4,13,59.2,,,,,,,,,,,,,,,,,OTHER
KILCHOMAN BOURBON SINGLE CASK,Single Malt,ISLAY,3.03,,https://distiller.com/spirits/kilchoman-bourbon-single-cask,9,,4,NAS,59.0,,,,,,,,,,,,,,,,,KILCHOMAN
DEANSTON 12 YEAR SHERRY OAK,Single Malt,HIGHLAND,3.34,,https://distiller.com/spirits/deanston-12-year-sherry-oak,8,,2,12,40.0,,,,,,,,,,,,,,,,,DEANSTON
ARDBEG STILL YOUNG,Single Malt,ISLAY,4.03,,https://distiller.com/spirits/ardbeg-still-young,8,,5,7,56.2,,,,,,,,,,,,,,,,,ARDBEG
GLENALLACHIE 25 YEAR,Single Malt,SPEYSIDE,3.75,89.0,https://distiller.com/spirits/glenallachie-25-year,8,GLENALLACHIE,5,25,48.0,RICH,"{""smoky"":0,""peaty"":0,""spicy"":25,""herbal"":20,""oily"":40,""full_bodied"":35,""rich"":60,""sweet"":35,""briny"":0,""salty"":0,""vanilla"":10,""tart"":20,""fruity"":40,""floral"":10}",0.0,0.0,25.0,20.0,40.0,35.0,60.0,35.0,0.0,0.0,10.0,20.0,40.0,10.0,GLENALLACHIE
IMPERIAL 1995 20 YEAR (THE ULTIMATE),Single Malt,SPEYSIDE,2.72,,https://distiller.com/spirits/imperial-1995-20-year-the-ultimate,8,THE ULTIMATE WHISKY COMPANY,5,20,46.0,,,,,,,,,,,,,,,,,IMPERIAL
CAOL ILA 10 CONNOISSEUR’S CHOICE (GORDON & MACPHAIL),Single Malt,ISLAY,3.69,,https://distiller.com/spirits/caol-ila-10-connoisseur-s-choice-gordon-macphail,8,,3,10,46.0,,,,,,,,,,,,,,,,,CAOL ILA
GLENCADAM 18,Single Malt,HIGHLAND,3.69,,https://distiller.com/spirits/glencadam-18,8,,4,18,46.0,,,,,,,,,,,,,,,,,GLENCADAM
GLENMORANGIE GRAND VINTAGE 1989,Single Malt,HIGHLAND,4.31,92.0,https://distiller.com/spirits/glenmorangie-grand-vintage-1989,8,GLENMORANGIE,5,NAS,43.0,FRUITY & SWEET,"{""smoky"":15,""peaty"":0,""spicy"":35,""herbal"":15,""oily"":15,""full_bodied"":50,""rich"":50,""sweet"":85,""briny"":10,""salty"":10,""vanilla"":25,""tart"":35,""fruity"":90,""floral"":55}",15.0,0.0,35.0,15.0,15.0,50.0,50.0,85.0,10.0,10.0,25.0,35.0,90.0,55.0,GLENMORANGIE
LINKWOOD-GLENLIVET 23 YEAR SMALL BATCH (CADENHEAD'S),Single Malt,SPEYSIDE,4.03,,https://distiller.com/spirits/linkwood-glenlivet-23-years-cadenhead,8,CADENHEAD SMALL BATCH,5,23,55.0,,,,,,,,,,,,,,,,,GLENLIVET
TORMORE 1992 21 YEAR CASK #100 BERRYS' OWN (BERRY BROS & RUDD),Single Malt,SPEYSIDE,3.84,,https://distiller.com/spirits/tormore-1992-21-year-cask-100-berrys-own-berry-bros-rudd,9,BERRYS' OWN SELECTION,4,21,54.0,,,,,,,,,,,,,,,,,TORMORE
GLENALLACHIE 7 YEAR BATTLEHILL (DUNCAN TAYLOR),Single Malt,SPEYSIDE,3.03,,https://distiller.com/spirits/glenallachie-7-year-battlehill-duncan-taylor,8,DUNCAN TAYLOR BATTLEHILL,3,7,55.0,,,,,,,,,,,,,,,,,GLENALLACHIE
